Ordenamiento territorial y planeación urbana sustentable ,None,+++,0,+++,+++,0,++,+++,0,+++,++,0,0,0,0,None,+++,0,0,0,None
"Edificaciones sustentables (Ecotecnias, diseño y materiales sustentables)",++,None,0,0,+++,0,0,0,++,++,0,+++,0,0,0,++,0,0,0,0,0
Industria limpia (produccion y circulacion sustentable),0,0,None,0,+++,0,0,+++,+++,++,+++,0,0,0,0,0,0,0,0,0,0
Movilidad sustentable ,+++,0,0,None,+++,0,0,+++,+++,++,0,++,0,0,0,+++,0,0,0,0,++
Eficiencia energética y fomento a las energías renovables ,0,+++,+++,+++,None,0,0,+++,++,--,+++,0,0,0,0,+++,0,0,0,0,++
Infraestructura verde-azul para la adaptacion al cambio climático,++,0,0,0,0,None,+++,0,0,0,0,0,0,0,0,0,+++,0,0,0,+++
Conservación ambiental y adaptacion urbana basada en ecosistemas,++,0,0,0,0,0,None,++,0,++,0,0,0,0,0,0,+++,0,0,0,+++
Mitigacion de gases efecto invernadero y mejora de la calidad del aire ,0,0,0,0,+++,0,0,None,0,0,0,+++,0,0,0,++,0,0,0,0,+++
Gestión sustentable de residuos y cogeneración de energía,0,++,+++,0,0,0,0,0,None,++,+++,0,0,0,0,+++,++,0,0,0,0
Fomento a la resiliencia urbana ,+++,++,0,++,--,++,+++,0,++,None,0,++,0,0,0,0,+++,0,0,0,++
Economía circular y mercados locales-regionales ,0,++,++,++,+++,0,0,++,+++,+++,None,++,0,0,++,++,0,0,0,++,0
Reducción de la pobreza y de la vulnerabilidad al cambio climático,0,++,0,0,+++,0,0,0,0,+++,0,None,0,0,0,0,+++,0,0,0,0
Financiamiento para la sustentabilidad urbana ,+++,+++,+++,+++,+++,+++,+++,+++,+++,+++,+++,++,None,+++,+++,+++,+++,0,0,+++,+++
Acciones de educación para el cambio climático y difusión para la sustentabilidad,0,0,0,0,0,0,0,0,0,+++,0,+++,0,None,0,++,0,0,0,0,+++
"Participación social en el avance hacia la sustentabilidad, incluyente y justa",++,++,++,++,++,++,0,0,++,+++,++,+++,0,+++,None,0,+++,0,0,++,+++
Mejoramiento de la salud pública ,0,0,0,0,0,0,0,0,0,+++,0,+++,0,0,0,None,0,0,0,0,0
Gestión de riesgo de desastres y reducción de la vulnerabilidad al cambio climático,++,++,0,0,0,0,++,0,0,+++,0,++,0,++,+++,+++,None,0,0,+++,+++
Presupuesto climático y seguros contra riesgos hidro-meteorológicos,0,+++,++,+++,+++,+++,+++,+++,+++,++,0,0,0,+++,+++,0,+++,None,0,+++,+++
Combate a la corrupción y rendición de cuentas,++,0,0,0,0,0,0,0,0,++,0,++,++,0,0,0,0,0,None,0,+++
Construcción de capacidades para sustentabilidad urbana con perspectiva de género ,++,++,++,++,++,++,0,0,++,+++,++,+++,0,+++,+++,0,+++,0,0,None,+++
Fortalecimiento de la gobernanza del cambio climático,+++,0,0,++,+++,+++,+++,+++,0,+++,+++,++,+++,+++,+++,0,+++,+++,+++,+++,None
